title,url,summary,scraped_at
Why Android can't use CDC Ethernet (2023),https://jordemort.dev/blog/why-android-cant-use-cdc-ethernet/,,2025-06-08 23:05:22
Panjandrum: The 'giant firework' built to break Hitler's Atlantic Wall,https://www.bbc.com/future/article/20250603-the-giant-firework-built-to-break-hitlers-atlantic-wall,,2025-06-08 23:05:22
Show HN: Let’s Bend – Open-Source Harmonica Bending Trainer,https://letsbend.de,,2025-06-08 23:05:22
Cheap yet ultrapure titanium might enable widespread use in industry (2024),https://phys.org/news/2024-06-cheap-ultrapure-titanium-metal-enable.amp,,2025-06-08 23:05:22
How Much Energy Does It Take to Think?,https://www.quantamagazine.org/how-much-energy-does-it-take-to-think-20250604/,,2025-06-08 23:05:22
Gaussian integration is cool,https://rohangautam.github.io/blog/chebyshev_gauss/,,2025-06-08 23:05:22
Binfmtc – binfmt_misc C scripting interface,https://www.netfort.gr.jp/~dancer/software/binfmtc.html.en,,2025-06-08 23:05:22
Administering immunotherapy in the morning seems to matter. Why?,https://www.owlposting.com/p/the-time-of-day-that-immunotherapy,,2025-06-08 23:05:22
Startup Equity 101,https://quarter--mile.com/Startup-Equity-101,,2025-06-08 23:05:22
Efficient mRNA delivery to resting T cells to reverse HIV latency,https://www.nature.com/articles/s41467-025-60001-2,,2025-06-08 23:05:22
